cityName,country,lat,lng,temp,humidity,cloudiness,winds
carnarvon,au,-30.97,22.13,47.75,21,0,3.71
busselton,au,-33.64,115.35,57.83,100,48,16.91
langsa,id,4.47,97.97,70.61,96,80,2.04
fort smith,us,35.39,-94.42,82.99,59,1,5.82
ossora,ru,59.24,163.07,46.04,94,68,14.79
ngunguru,nz,-35.62,174.5,60.35,100,20,3.94
nikolskoye,ru,59.7,30.79,46.4,87,40,4.47
avera,pf,33.19,-82.53,83.95,62,90,4.7
koulikoro,ml,12.86,-7.56,78.8,88,0,6.62
khasan,ru,42.43,130.64,53.96,100,0,15.57
lata,sb,30.78,78.62,42.44,80,0,2.59
nanortalik,gl,60.14,-45.24,37.58,98,92,15.01
dhangadhi,np,28.7,80.57,61.16,76,0,3.6
butaritari,ki,3.07,172.79,84.2,100,20,5.61
kodiak,us,39.95,-94.76,51.98,92,90,11.41
nuuk,gl,64.17,-51.74,33.8,100,75,5.82
tuktoyaktuk,ca,69.44,-133.03,24.8,68,5,12.75
komsomolskiy,ru,67.55,63.78,34.52,100,80,5.28
madarounfa,ne,13.3,7.16,78.08,60,0,8.19
atambua,id,-9.11,124.89,82.85,77,0,3.6
bethel,us,60.79,-161.76,51.98,82,90,5.82
acapulco,mx,16.86,-99.88,86.0,74,75,5.82
nishihara,jp,35.74,139.53,80.62,69,1,6.93
port alfred,za,-33.59,26.89,67.73,93,88,12.21
punta arenas,cl,-53.16,-70.91,48.2,57,20,31.09
port elizabeth,za,39.31,-74.98,69.98,90,90,4.7
amod,in,21.99,72.87,79.61,87,0,2.71
san policarpo,ph,12.18,125.51,82.4,98,44,3.15
numan,ng,9.46,12.04,71.78,100,44,2.59
san patricio,mx,-26.98,-56.83,63.41,81,48,3.38
dawei,mm,14.07,98.19,71.69,99,80,3.15
barrow,us,-38.31,-60.23,67.55,46,0,18.25
avarua,ck,-21.21,-159.78,77.0,65,20,11.41
silifke,tr,36.38,33.93,63.95,74,0,7.4
bathsheba,bb,13.22,-59.52,78.8,83,75,23.04
dikson,ru,73.51,80.55,37.04,100,20,12.55
